Timestamp,Weighted_Price
1531765800.0,76.84
1531679400.0,76.84
1531593000.0,76.95
1531506600.0,76.95
1531420200.0,76.76
1531333800.0,76.59
1531247400.0,76.53
1531161000.0,76.53
1531074600.0,76.36
1530988200.0,76.13
1530901800.0,75.98
1530815400.0,75.85
1530729000.0,75.71
1530642600.0,75.55
1530556200.0,75.55
1530469800.0,75.55
1530383400.0,75.55
1530297000.0,75.55
1530210600.0,75.55
1530124200.0,75.55
1530037800.0,75.55
1529951400.0,75.55
1529865000.0,75.69
1529778600.0,75.79
1529692200.0,75.93
1529605800.0,76.02
1529519400.0,76.16
1529433000.0,76.27
1529346600.0,76.27
1529260200.0,76.35
1529173800.0,76.35
1529087400.0,76.35
1529001000.0,76.35
1528914600.0,76.43
1528828200.0,76.43
1528741800.0,76.43
1528655400.0,76.58
1528569000.0,76.78
1528482600.0,77.02
1528396200.0,77.42
1528309800.0,77.63
1528223400.0,77.72
1528137000.0,77.83
1528050600.0,77.96
1527964200.0,78.11
1527877800.0,78.2
1527791400.0,78.29
1527705000.0,78.35
1527618600.0,78.42
1527532200.0,78.43
1527445800.0,78.27
1527359400.0,78.12
1527273000.0,77.97
1527186600.0,77.83
1527100200.0,77.47
1527013800.0,77.17
1526927400.0,76.87
1526841000.0,76.57
1526754600.0,76.24
1526668200.0,75.91
1526581800.0,75.61
1526495400.0,75.32
1526409000.0,75.1
1526322600.0,74.95
1526236200.0,74.8
1526149800.0,74.63
1526063400.0,74.63
1525977000.0,74.63
1525890600.0,74.63
1525804200.0,74.63
1525717800.0,74.63
1525631400.0,74.63
1525545000.0,74.63
1525458600.0,74.63
1525372200.0,74.63
1525285800.0,74.63
1525199400.0,74.63
1525113000.0,74.63
1525026600.0,74.63
1524940200.0,74.63
1524853800.0,74.63
1524767400.0,74.63
1524681000.0,74.63
1524594600.0,74.63
1524508200.0,74.63
1524421800.0,74.5
1524335400.0,74.4
1524249000.0,74.21
1524162600.0,74.08
1524076200.0,74.07
1523989800.0,74.02
1523903400.0,74.02
1523817000.0,74.02
1523730600.0,73.98
1523644200.0,73.93
1523557800.0,73.91
1523471400.0,73.94
1523385000.0,73.98
1523298600.0,73.98
1523212200.0,73.99
1523125800.0,74.03
1523039400.0,74.0
1522953000.0,73.98
1522866600.0,73.98
1522780200.0,73.95
1522693800.0,73.95
1522607400.0,73.83
1522521000.0,73.73
1522434600.0,73.55
1522348200.0,73.31
1522261800.0,73.08
1522175400.0,72.9
1522089000.0,72.9
1522002600.0,72.79
1521916200.0,72.55
1521829800.0,72.38
1521743400.0,72.3
1521657000.0,72.26
1521570600.0,72.2
1521484200.0,72.2
1521397800.0,72.19
1521311400.0,72.2
1521225000.0,72.27
1521138600.0,72.37
1521052200.0,72.45
1520965800.0,72.47
1520879400.0,72.47
1520793000.0,72.45
1520706600.0,72.48
1520620200.0,72.46
1520533800.0,72.43
1520447400.0,72.39
1520361000.0,72.39
1520274600.0,72.39
1520188200.0,72.32
1520101800.0,72.26
1520015400.0,72.0
1519929000.0,71.75
1519842600.0,71.57
1519756200.0,71.51
1519669800.0,71.51
1519583400.0,71.53
1519497000.0,71.5
1519410600.0,71.52
1519324200.0,71.61
1519237800.0,71.7
1519151400.0,71.72
1519065000.0,71.73
1518978600.0,71.92
1518892200.0,72.07
1518805800.0,72.23
1518719400.0,72.52
1518633000.0,72.79
1518546600.0,72.94
1518460200.0,72.94
1518373800.0,73.01
1518287400.0,73.22
1518201000.0,73.33
1518114600.0,73.35
1518028200.0,73.37
1517941800.0,73.38
1517855400.0,73.38
1517769000.0,73.31
1517682600.0,73.16
1517596200.0,73.09
1517509800.0,73.1
1517423400.0,73.05
1517337000.0,72.92
1517250600.0,72.92
1517164200.0,72.84
1517077800.0,72.77
1516991400.0,72.72
1516905000.0,72.63
1516818600.0,72.49
1516732200.0,72.43
1516645800.0,72.38
1516559400.0,72.23
1516473000.0,72.08
1516386600.0,71.89
1516300200.0,71.7
1516213800.0,71.56
1516127400.0,71.39
1516041000.0,71.27
1515954600.0,71.18
1515868200.0,71.06
1515781800.0,70.92
1515695400.0,70.73
1515609000.0,70.66
1515522600.0,70.62
1515436200.0,70.53
1515349800.0,70.43
1515263400.0,70.28
1515177000.0,70.13
1515090600.0,69.99
1515004200.0,69.97
1514917800.0,69.97
1514831400.0,69.97
1514745000.0,69.97
